prompt_text,functional_type,prompt_kind,style_markers,support_level,cognitive_demand,method_style_likelihood
Do you want to start with school or family?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to start with the title or the first paragraph?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to start with a question or a statement?,Choice Prompt,Choice-based,,Low,Choice,
"Which one do you want: school, family, or hobbies?",Choice Prompt,Choice-based,,Low,Choice,
"Which one do you want: the title, the first paragraph, or the ending?",Choice Prompt,Choice-based,,Low,Choice,
"Which one do you want: a question, a statement, or a prediction?",Choice Prompt,Choice-based,,Low,Choice,
Do you want to answer with a word or a full sentence?,Choice Prompt,Choice-based,,Low,Choice,
Should we keep going or take a short break?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to spell it first or talk about it first?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to try that again or move on?,Choice Prompt,Choice-based,,Low,Choice,
Pick one: school or family.,Choice Prompt,Choice-based,,Low,Choice,
Pick one: the title or the first paragraph.,Choice Prompt,Choice-based,,Low,Choice,
Pick one: a question or a statement.,Choice Prompt,Choice-based,,Low,Choice,
Do you want me to repeat the question or show you the keyword?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to work on school now or family now?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to work on the title now or the first paragraph now?,Choice Prompt,Choice-based,,Low,Choice,
Do you want to work on a question now or a statement now?,Choice Prompt,Choice-based,,Low,Choice,
Which feels easier right now: school or family?,Choice Prompt,Choice-based,,Low,Choice,
Which feels easier right now: the title or the first paragraph?,Choice Prompt,Choice-based,,Low,Choice,
Which feels easier right now: a question or a statement?,Choice Prompt,Choice-based,,Low,Choice,
What are you noticing?,Open-Ended Prompt,Open-ended,,Medium,Observation,
What do you see first?,Open-Ended Prompt,Open-ended,,Medium,Observation,
What’s the main idea in one sentence?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
Why do you think that matters?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What might someone disagree with here?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What do you think will happen next?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
How would you explain this to a friend?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What’s one detail you want to add?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What question would you ask about this?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
How does this connect to your life?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What’s the strongest word you could use here?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
What emotion do you think is showing up here?,Open-Ended Prompt,Open-ended,,Medium,Reasoning,
"When you say “it,” what exactly are you referring to?",Clarification Prompt,Clarification,,Medium,Reasoning,
Do you mean the character or the setting?,Clarification Prompt,Clarification,,Medium,Reasoning,
Which part are you talking about—the beginning or the end?,Clarification Prompt,Clarification,,Medium,Reasoning,
Can you show me where you got stuck?,Clarification Prompt,Clarification,,Medium,Reasoning,
What does that word mean to you here?,Clarification Prompt,Clarification,,Medium,Reasoning,
"Are you saying you agree, disagree, or you’re not sure yet?",Clarification Prompt,Clarification,,Medium,Reasoning,
Can you point to the exact line you mean?,Clarification Prompt,Clarification,,Medium,Reasoning,
Which sentence are you answering?,Clarification Prompt,Clarification,,Medium,Reasoning,
Are you referring to what you read or what you inferred?,Clarification Prompt,Clarification,,Medium,Reasoning,
What’s the “this” in your sentence?,Clarification Prompt,Clarification,,Medium,Reasoning,
You’re doing great—keep going.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Nice work staying focused.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
That was a solid effort. Let’s do one more.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
It’s okay to pause. You’re safe here.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Nobody’s judging you.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Take a deep breath.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
"Let’s take two breaths, then continue.",Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Good job correcting yourself.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
You can do hard things—one step at a time.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Slow is fine. Accuracy matters more than speed.,Reinforcement Prompt,Reinforcement,Regulation/encouragement language,Low,Regulation,
Look right here. What do you see?,Guided Prompt,Guided,Body/gesture directive present,High,Observation,
Point to the keyword in the text.,Guided Prompt,Guided,Pointing/anchoring to text,High,Reasoning,
Start with the first letter of the word.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: scaffolding/hinting
Let’s slow down—one letter at a time.,Guided Prompt,Guided,Letterboard/spelling workflow; pacing,High,Recall,S2C/RPM marker: pacing for accuracy
"Try the word again, but check the ending.",Guided Prompt,Guided,Error correction,High,Self-Monitoring,
Check your work—does that spelling match the sound?,Guided Prompt,Guided,Metacognitive check,High,Self-Monitoring,
Use the word in a new sentence.,Guided Prompt,Guided,Transfer practice,Medium,Application,
Choose a starter phrase: “I think…” or “I notice…”,Guided Prompt,Guided,Sentence starter scaffold,Medium,Application,
Let’s do three quick practice words.,Guided Prompt,Guided,Letterboard/spelling workflow; drill,High,Recall,S2C/RPM marker: drill/word work
"Remember: we’re spelling first, then we’ll talk about meaning.",Guided Prompt,Guided,Letterboard/spelling workflow; process reminder,Medium,Meta,S2C/RPM marker: spell-then-meaning
Let’s spell the word snow.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Let’s spell the word winter.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Let’s spell the word forest.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Let’s spell the word major.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Let’s spell the word light.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Spell snow.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Spell winter.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
Spell forest.,Guided Prompt,Guided,Letterboard/spelling workflow,High,Recall,S2C/RPM marker: letterboard workflow
