text,label
"Do you want to start with school or family?",PROMPT
"Do you want to start with the title or the first paragraph?",PROMPT
"Do you want to start with a question or a statement?",PROMPT
"Which one do you want: school, family, or hobbies?",PROMPT
"Which one do you want: the title, the first paragraph, or the ending?",PROMPT
"Which one do you want: a question, a statement, or a prediction?",PROMPT
"Do you want to answer with a word or a full sentence?",PROMPT
"Should we keep going or take a short break?",PROMPT
"Do you want to spell it first or talk about it first?",PROMPT
"Do you want to try that again or move on?",PROMPT
"Pick one: school or family.",PROMPT
"Pick one: the title or the first paragraph.",PROMPT
"Pick one: a question or a statement.",PROMPT
"Do you want me to repeat the question or show you the keyword?",PROMPT
"Do you want to work on school now or family now?",PROMPT
"Do you want to work on the title now or the first paragraph now?",PROMPT
"Do you want to work on a question now or a statement now?",PROMPT
"Which feels easier right now: school or family?",PROMPT
"Which feels easier right now: the title or the first paragraph?",PROMPT
"Which feels easier right now: a question or a statement?",PROMPT
"What are you noticing?",PROMPT
"What do you see first?",PROMPT
"What is the main idea in one sentence?",PROMPT
"Why do you think that matters?",PROMPT
"What might someone disagree with here?",PROMPT
"What do you think will happen next?",PROMPT
"How would you explain this to a friend?",PROMPT
"What is one detail you want to add?",PROMPT
"What question would you ask about this?",PROMPT
"How does this connect to your life?",PROMPT
"What is the strongest word you could use here?",PROMPT
"What emotion do you think is showing up here?",PROMPT
"When you say it, what exactly are you referring to?",PROMPT
"Do you mean the character or the setting?",PROMPT
"Which part are you talking about, the beginning or the end?",PROMPT
"Can you show me where you got stuck?",PROMPT
"What does that word mean to you here?",PROMPT
"Are you saying you agree, disagree, or you are not sure yet?",PROMPT
"Can you point to the exact line you mean?",PROMPT
"Which sentence are you answering?",PROMPT
"Are you referring to what you read or what you inferred?",PROMPT
"What is the this in your sentence?",PROMPT
"You are doing great. Keep going.",PROMPT
"Nice work staying focused.",PROMPT
"That was a solid effort. Let us do one more.",PROMPT
"It is okay to pause. You are safe here.",PROMPT
"Nobody is judging you.",PROMPT
"Take a deep breath.",PROMPT
"Let us take two breaths, then continue.",PROMPT
"Good job correcting yourself.",PROMPT
"You can do hard things, one step at a time.",PROMPT
"Slow is fine. Accuracy matters more than speed.",PROMPT
"Look right here. What do you see?",PROMPT
"Point to the keyword in the text.",PROMPT
"Start with the first letter of the word.",PROMPT
"Let us slow down, one letter at a time.",PROMPT
"Try the word again, but check the ending.",PROMPT
"Check your work. Does that spelling match the sound?",PROMPT
"Use the word in a new sentence.",PROMPT
"Choose a starter phrase: I think or I notice.",PROMPT
"Let us do three quick practice words.",PROMPT
"Remember, we are spelling first, then we will talk about meaning.",PROMPT
"Let us spell the word snow.",PROMPT
"Let us spell the word winter.",PROMPT
"Let us spell the word forest.",PROMPT
"Let us spell the word major.",PROMPT
"Let us spell the word light.",PROMPT
"Spell snow.",PROMPT
"Spell winter.",PROMPT
"Spell forest.",PROMPT
"Spell major.",PROMPT
"Spell light.",PROMPT
"Spell snow again, slowly.",PROMPT
"Spell winter again, slowly.",PROMPT
"Spell forest again, slowly.",PROMPT
"Spell major again, slowly.",PROMPT
"Spell light again, slowly.",PROMPT
